gescal17,municipio,tipo_via,nombre_via,numero,cod_postal,uuii
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,4,14007,4
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,6,14007,4
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,8,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,9,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,10,14007,2
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,12,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,14,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,16,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,18,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,20,14007,4
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,22,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,24,14007,1
14000200042500000,CORDOBA,CALLE,DON CARLOS ROMERO,26,14007,3
14000200043000000,CORDOBA,AVENIDA,DE MIGUEL DE UNAMUNO,10,14010,6
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,1,14003,14
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,2,14003,8
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,3,14003,16
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,4,14003,3
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,6,14003,3
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,8,14003,6
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,10,14003,3
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,12,14003,8
14000200044600000,CORDOBA,CALLE,DUQUE DE FERNÁN NÚÑEZ,17,14003,1
14000200045200000,CORDOBA,CALLE,EDUARDO DATO,1,14003,7
14000200045200000,CORDOBA,CALLE,EDUARDO DATO,3,14003,11
14000200045200000,CORDOBA,CALLE,EDUARDO DATO,5,14003,6
14000200047100000,CORDOBA,CALLE,ESCAÑUELA,1,14002,5
14000200048100000,CORDOBA,CALLE,ESCRITOR CRISTÓBAL DE MESA,12,14007,1
14000200048900000,CORDOBA,CALLE,ESCRITOR HOYOS NORIEGA,3,14014,14
14000200048900000,CORDOBA,CALLE,ESCRITOR HOYOS NORIEGA,4,14014,19
14000200049900000,CORDOBA,CALLE,ESCRITOR PEDRO MESSÍA,3,14007,15
14000200051500000,CORDOBA,CALLE,FERNANDO DE CÓRDOBA,5,14008,64
14000200052800000,CORDOBA,CALLE,ESPARTA,18,14007,1
14000200057100000,CORDOBA,CALLE,FRAY LUIS DE GRANADA,6,14008,143
14000200060900000,CORDOBA,PLAZA,DE GONZALO DE AYORA,5,14001,6
14000200060900000,CORDOBA,PLAZA,DE GONZALO DE AYORA,6,14001,10
14000200061500000,CORDOBA,AVENIDA,DEL GRAN CAPITÁN,21,14001,19
14000200061700000,CORDOBA,AVENIDA,DE GRANADA,11,14009,32
14000200061700000,CORDOBA,AVENIDA,DE GRANADA,13,14009,32
14000200061700000,CORDOBA,AVENIDA,DE GRANADA,15,14009,32
14000200061700000,CORDOBA,AVENIDA,DE GRANADA,17,14009,31
14000200061700000,CORDOBA,AVENIDA,DE GRANADA,19,14009,32
14000200062300000,CORDOBA,CALLE,RÍO GUADAJOZ,0,14014,128
14000200063500000,CORDOBA,CALLE,CRONISTA SALCEDO HIERRO,2,14001,2
14000200063500000,CORDOBA,CALLE,CRONISTA SALCEDO HIERRO,4,14001,9
14000200063700000,CORDOBA,CALLE,HEREDIA,2,14003,23
14000200063700000,CORDOBA,CALLE,HEREDIA,4,14003,6
14000200063700000,CORDOBA,CALLE,HEREDIA,8,14003,5
